hr,mae
0,19.328899774794333
1,15.94379985439285
2,15.813115192885732
3,12.42922459643662
4,10.805197972143608
5,16.429081512026805
6,36.94806805619642
7,54.334661041226795
8,40.245563001575825
9,35.88111174390076
10,44.29439597775894
11,46.57217773806089
12,52.40415419978091
13,42.07340129620594
14,56.14078571880332
15,61.752326089338446
16,42.97843757948427
17,62.30297279445306
18,59.20539798820081
19,53.37203528039712
20,49.17717579536217
21,42.93897264906759
22,42.214365396984476
23,29.490196011740032
